Model,Architecture (Units per Layer),Accuracy,Recall,Precision,F1-Score,TP,TN,FP,FN
Baseline 1,"(64,)",0.8816067653275091,0.8177966101691451,0.9368932038830404,0.8733031673706497,193,224,13,43
Baseline 2,"(64, 128)",0.86257928118375,0.8728813559318336,0.8547717842320105,0.8637316561341296,206,202,35,30
Baseline 3,"(64, 128, 256)",0.8604651162788879,0.8516949152538764,0.8663793103444541,0.8589743589239957,201,206,31,35
