Model,Architecture (Units per Layer),Accuracy,Recall,Precision,F1-Score,TP,TN,FP,FN
MBO 1,"(119, 128, 118)",0.9281183932344761,0.9152542372877478,0.9391304347822004,0.9270386265590526,216,223,14,20
MBO 2,"(17, 139, 425)",0.9365750528539246,0.9279661016945221,0.9439655172409724,0.9358974358470398,219,224,13,17
MBO 3,"(84, 130, 108)",0.9344608879490625,0.9067796610165649,0.9596412556049508,0.9324618735879779,214,228,9,22
