Model,Architecture (Units per Layer),Accuracy,Recall,Precision,F1-Score,TP,TN,FP,FN
MBO 1,"(23, 218, 195)",0.9155405405403858,0.952542372881033,0.8864353312300043,0.9183006535445358,281,261,36,14
MBO 2,"(67, 103, 468)",0.89358108108093,0.8203389830505694,0.9603174603170793,0.88482632536132,242,287,10,53
MBO 3,"(40, 144, 301)",0.89358108108093,0.9084745762708786,0.8815789473681311,0.8948247077961232,268,261,36,27
